ProbeName	6302A	6302B	6302C	6302D
1349385-1350182	4.60E+04	6.06E+04	5.04E+04	4.34E+04
1350200-1350484	4.41E+04	3.50E+04	4.39E+04	4.12E+04
1350200-1350484	4.09E+04	3.98E+04	4.23E+04	4.16E+04
1350200-1350484	4.01E+04	3.20E+04	4.30E+04	3.88E+04
1350200-1350484	3.55E+04	3.18E+04	4.25E+04	3.76E+04
1350569-1351699	3.39E+04	3.30E+04	4.61E+04	4.93E+04
1350569-1351699	3.90E+04	3.34E+04	4.33E+04	4.62E+04
1350569-1351699	4.25E+04	3.02E+04	4.68E+04	4.59E+04
1350569-1351699	4.66E+04	3.21E+04	4.37E+04	4.76E+04
1351740-1352153	3.51E+04	4.49E+04	3.50E+04	3.34E+04
1351740-1352153	3.60E+04	4.66E+04	3.66E+04	3.43E+04
1351740-1352153	3.44E+04	4.67E+04	4.10E+04	3.31E+04
1351740-1352153	3.18E+04	3.98E+04	3.69E+04	3.32E+04
1352637-1352966	1.40E+03	1.11E+03	1.47E+03	1.03E+03
1352637-1352966	1.54E+03	1.07E+03	1.51E+03	2.09E+03
1352637-1352966	1.40E+03	1.00E+03	1.52E+03	1.48E+03
1352637-1352966	1.65E+03	1.43E+03	1.61E+03	1.58E+03
1352970-1353761	2.84E+03	2.15E+03	2.74E+03	2.78E+03
1352970-1353761	2.51E+03	2.32E+03	3.64E+03	2.57E+03
1352970-1353761	2.11E+03	2.16E+03	2.60E+03	2.85E+03
1352970-1353761	2.86E+03	2.18E+03	2.66E+03	2.93E+03
1354325-1355407	5.88E+04	8.43E+04	5.51E+04	5.49E+04
1354325-1355407	5.97E+04	8.28E+04	5.56E+04	5.60E+04
1354325-1355407	5.47E+04	7.89E+04	5.39E+04	5.21E+04
1354325-1355407	5.53E+04	7.96E+04	5.82E+04	5.11E+04
1357131-1358975	1.76E+04	1.76E+04	2.32E+04	2.32E+04
1357131-1358975	2.21E+04	1.61E+04	2.40E+04	2.29E+04
1357131-1358975	2.31E+04	1.91E+04	2.60E+04	2.38E+04
1357131-1358975	2.27E+04	1.72E+04	2.38E+04	2.19E+04
1358977-1359678	9.26E+03	1.42E+04	1.20E+04	8.85E+03
1358977-1359678	9.58E+03	1.23E+04	1.33E+04	1.02E+04
1358977-1359678	9.68E+03	1.18E+04	1.19E+04	1.05E+04
1358977-1359678	8.59E+03	1.23E+04	1.13E+04	9.92E+03
1359696-1361117	1.74E+04	1.96E+04	2.10E+04	1.92E+04
1359696-1361117	1.83E+04	2.07E+04	2.03E+04	1.96E+04
1359696-1361117	1.97E+04	2.23E+04	2.19E+04	2.12E+04
1359696-1361117	1.84E+04	2.03E+04	2.17E+04	1.98E+04
1361218-1361529	9.98E+04	1.29E+05	5.72E+04	9.57E+04
1361218-1361529	1.14E+05	1.21E+05	1.07E+05	8.88E+04
1361218-1361529	1.05E+05	9.89E+04	1.11E+05	8.93E+04
1361218-1361529	1.13E+05	1.24E+05	9.65E+04	7.90E+04
1361544-1361861	1.17E+05	1.50E+05	1.29E+05	1.25E+05
1361544-1361861	1.54E+05	1.36E+05	1.46E+05	1.27E+05
1361544-1361861	1.57E+05	1.34E+05	1.47E+05	1.28E+05
1361544-1361861	1.56E+05	1.30E+05	1.49E+05	1.40E+05
1361875-1362165	8.13E+04	7.54E+04	8.06E+04	6.10E+04
1361875-1362165	8.17E+04	7.57E+04	7.04E+04	6.92E+04
1361875-1362165	8.21E+04	7.70E+04	7.18E+04	7.08E+04
1361875-1362165	7.86E+04	8.14E+04	6.25E+04	6.89E+04
1362276-1363553	4.81E+04	4.01E+04	5.39E+04	4.19E+04
1362276-1363553	4.54E+04	3.82E+04	5.05E+04	4.71E+04
1362276-1363553	4.70E+04	3.68E+04	4.90E+04	4.67E+04
1362276-1363553	4.64E+04	4.01E+04	4.93E+04	4.76E+04
1363605-1363973	8.21E+03	1.12E+04	8.65E+03	8.28E+03
1363605-1363973	1.01E+04	1.15E+04	7.60E+03	8.15E+03
1363605-1363973	1.01E+04	1.08E+04	7.80E+03	9.21E+03
1363605-1363973	9.06E+03	1.00E+04	8.90E+03	8.41E+03
1364274-1365479	2.67E+03	2.23E+03	4.82E+03	3.71E+03
1364274-1365479	3.47E+03	2.25E+03	3.25E+03	3.13E+03
1364274-1365479	3.31E+03	2.16E+03	3.29E+03	3.27E+03
1364274-1365479	3.00E+03	2.23E+03	3.46E+03	3.51E+03
1367910-1368623	4.48E+03	3.00E+03	3.99E+03	4.24E+03
1367910-1368623	4.44E+03	2.97E+03	4.19E+03	3.93E+03
1367910-1368623	4.31E+03	3.32E+03	4.52E+03	4.29E+03
1367910-1368623	4.19E+03	3.22E+03	4.43E+03	4.47E+03
1368741-1370015	2.34E+03	1.46E+03	1.83E+03	1.52E+03
1368741-1370015	2.38E+03	1.59E+03	2.00E+03	1.63E+03
1368741-1370015	2.13E+03	1.64E+03	1.85E+03	1.54E+03
1368741-1370015	2.38E+03	1.57E+03	1.82E+03	1.65E+03
1370023-1370820	2.36E+05	2.58E+05	3.14E+05	3.37E+05
1370023-1370820	1.26E+05	1.01E+05	2.43E+05	2.14E+05
1370023-1370820	1.17E+05	1.08E+05	1.26E+05	2.18E+05
1370023-1370820	2.35E+05	1.18E+05	2.79E+05	2.30E+05
1370834-1372054	4.99E+03	3.96E+03	5.03E+03	5.67E+03
1370834-1372054	4.27E+03	3.55E+03	5.48E+03	5.44E+03
1370834-1372054	4.81E+03	3.86E+03	5.93E+03	5.58E+03
1370834-1372054	5.23E+03	3.87E+03	5.16E+03	5.37E+03
1372065-1373456	2.07E+03	1.86E+03	2.42E+03	1.68E+03
1372065-1373456	2.00E+03	1.66E+03	2.14E+03	2.28E+03
1372065-1373456	2.19E+03	1.73E+03	2.71E+03	2.27E+03
1372065-1373456	1.51E+03	1.60E+03	2.10E+03	2.00E+03
1375461-1376657	1.33E+05	1.09E+05	1.81E+05	1.64E+05
1375461-1376657	1.54E+05	1.11E+05	1.80E+05	1.57E+05
1375461-1376657	1.50E+05	1.16E+05	1.72E+05	1.60E+05
1375461-1376657	1.45E+05	1.07E+05	1.75E+05	1.60E+05
1376750-1377274	1.28E+05	1.27E+05	1.28E+05	1.52E+05
1376750-1377274	1.40E+05	1.24E+05	1.43E+05	1.36E+05
1376750-1377274	1.52E+05	1.34E+05	1.55E+05	1.38E+05
1376750-1377274	1.27E+05	1.14E+05	1.29E+05	1.28E+05
1377299-1377475	1.60E+05	1.52E+05	1.55E+05	1.53E+05
1377299-1377475	1.50E+05	1.48E+05	1.54E+05	1.52E+05
1377299-1377475	1.34E+05	1.52E+05	1.52E+05	1.56E+05
1377299-1377475	1.36E+05	1.54E+05	1.64E+05	1.45E+05
1377682-1378239	1.99E+04	1.90E+04	2.12E+04	2.04E+04
1377682-1378239	2.13E+04	2.03E+04	2.01E+04	2.11E+04
1377682-1378239	1.86E+04	1.82E+04	2.13E+04	1.88E+04
1377682-1378239	1.64E+04	1.50E+04	1.91E+04	1.62E+04
1378250-1379272	9.90E+04	7.85E+04	1.14E+05	1.03E+05
1378250-1379272	1.01E+05	8.07E+04	1.14E+05	1.10E+05
1378250-1379272	9.53E+04	7.53E+04	1.11E+05	1.09E+05
1378250-1379272	1.04E+05	9.39E+04	1.18E+05	1.05E+05
1379298-1380284	5.75E+04	4.84E+04	1.45E+04	7.06E+04
1379298-1380284	4.50E+04	6.15E+04	8.11E+04	7.24E+04
1379298-1380284	5.84E+04	6.41E+04	8.42E+04	7.35E+04
1379298-1380284	7.09E+04	7.05E+04	8.34E+04	7.41E+04
138020-140371	2.37E+04	2.41E+04	3.01E+04	2.76E+04
138020-140371	2.61E+04	2.68E+04	3.17E+04	3.01E+04
138020-140371	2.39E+04	2.58E+04	3.13E+04	2.68E+04
138020-140371	2.43E+04	2.71E+04	3.08E+04	2.94E+04
1380393-1381322	7.35E+04	6.26E+04	8.46E+04	9.16E+04
1380393-1381322	7.11E+04	7.87E+04	9.57E+04	7.73E+04
1380393-1381322	7.45E+04	7.44E+04	9.40E+04	8.03E+04
1380393-1381322	6.94E+04	7.65E+04	9.15E+04	6.49E+04
1381338-1382288	1.51E+05	1.11E+05	1.75E+05	1.75E+05
1381338-1382288	1.60E+05	1.06E+05	1.59E+05	1.67E+05
1381338-1382288	1.30E+05	1.10E+05	1.72E+05	1.69E+05
1381338-1382288	1.59E+05	1.10E+05	1.78E+05	1.66E+05
1382288-1383037	1.11E+05	9.20E+04	1.60E+05	1.38E+05
1382288-1383037	1.14E+05	8.65E+04	1.42E+05	1.35E+05
1382288-1383037	1.20E+05	9.02E+04	1.39E+05	1.24E+05
1382288-1383037	6.30E+04	9.20E+04	1.49E+05	1.33E+05
1383091-1383315	8.91E+04	8.18E+04	7.99E+04	7.74E+04
1383091-1383315	8.74E+04	8.50E+04	8.40E+04	8.26E+04
1383091-1383315	9.01E+04	8.09E+04	7.55E+04	7.74E+04
1383091-1383315	8.64E+04	8.83E+04	8.35E+04	8.37E+04
1383344-1384582	8.44E+04	7.61E+04	8.60E+04	7.61E+04
1383344-1384582	8.50E+04	7.33E+04	8.05E+04	7.17E+04
1383344-1384582	8.52E+04	7.06E+04	8.24E+04	6.50E+04
1383344-1384582	8.94E+04	7.38E+04	8.87E+04	7.33E+04
1384808-1386526	1.28E+03	1.46E+03	1.67E+03	1.31E+03
1384808-1386526	1.39E+03	1.57E+03	1.47E+03	1.43E+03
1384808-1386526	1.30E+03	1.62E+03	1.57E+03	1.71E+03
1384808-1386526	1.60E+03	1.62E+03	1.65E+03	1.57E+03
1386557-1388557	2.59E+03	3.10E+03	2.67E+03	2.34E+03
1386557-1388557	2.94E+03	3.47E+03	2.69E+03	2.49E+03
1386557-1388557	2.50E+03	2.95E+03	2.85E+03	2.61E+03
1386557-1388557	2.48E+03	3.25E+03	2.51E+03	2.67E+03
1388905-1389153	1.20E+03	1.09E+03	1.52E+03	1.42E+03
1388905-1389153	1.30E+03	1.21E+03	1.34E+03	1.24E+03
1388905-1389153	1.26E+03	1.17E+03	1.23E+03	1.31E+03
1388905-1389153	1.20E+03	1.07E+03	1.47E+03	1.53E+03
1389188-1389913	1.44E+03	1.27E+03	1.98E+03	1.78E+03
1389188-1389913	1.49E+03	1.20E+03	1.66E+03	1.94E+03
1389188-1389913	1.76E+03	1.24E+03	1.93E+03	1.76E+03
1389188-1389913	1.62E+03	9.94E+02	1.73E+03	1.60E+03
1389920-1391248	2.49E+03	2.01E+03	2.44E+03	2.54E+03
1389920-1391248	2.11E+03	2.02E+03	2.68E+03	2.84E+03
1389920-1391248	2.36E+03	1.92E+03	2.61E+03	2.43E+03
1389920-1391248	2.28E+03	1.88E+03	2.96E+03	2.03E+03
1391454-1391993	1.46E+04	1.62E+04	1.53E+04	1.49E+04
1391454-1391993	1.30E+04	1.38E+04	1.33E+04	1.34E+04
1391454-1391993	1.51E+04	1.35E+04	1.63E+04	1.39E+04
1391454-1391993	1.48E+04	1.78E+04	1.51E+04	1.24E+04
1392082-1394067	3.32E+04	3.18E+04	3.56E+04	3.11E+04
1392082-1394067	3.10E+04	2.77E+04	3.46E+04	3.16E+04
1392082-1394067	2.98E+04	2.82E+04	3.41E+04	2.82E+04
1392082-1394067	2.92E+04	3.53E+04	3.40E+04	3.04E+04
1394291-1395259	4.15E+01	5.77E+01	1.06E+02	8.59E+01
1394291-1395259	8.49E+01	3.94E+01	2.08E+02	6.82E+01
1394291-1395259	3.93E+01	3.97E+01	7.73E+01	7.24E+01
1394291-1395259	1.64E+02	1.06E+02	7.76E+01	6.63E+01
1395249-1395770	2.99E+02	2.31E+02	8.12E+02	3.22E+02
1395249-1395770	4.47E+02	1.99E+02	5.10E+02	1.84E+02
1395249-1395770	4.87E+02	2.63E+02	3.08E+02	4.17E+02
1395249-1395770	3.59E+02	4.03E+02	3.84E+02	3.75E+02
1395772-1395984	9.16E+02	1.09E+03	1.93E+03	1.72E+03
1395772-1395984	7.76E+02	7.33E+02	1.53E+03	1.37E+03
1395772-1395984	7.08E+02	7.40E+02	1.14E+03	1.26E+03
1395772-1395984	1.07E+03	7.88E+02	1.22E+03	1.22E+03
1396000-1396386	3.77E+01	7.55E+01	8.93E+01	7.58E+01
1396000-1396386	6.78E+01	3.85E+01	1.92E+02	7.11E+01
1396000-1396386	3.61E+01	7.97E+01	4.74E+02	1.19E+02
1396000-1396386	1.38E+02	4.45E+01	1.46E+02	1.66E+02
1396465-1397676	3.22E+01	5.98E+02	7.52E+02	7.14E+01
1396465-1397676	3.10E+01	3.79E+01	8.69E+01	7.83E+01
1396465-1397676	2.63E+01	3.50E+01	7.90E+01	3.44E+02
1396465-1397676	3.04E+01	3.81E+01	8.27E+01	6.72E+01
1397736-1398353	1.57E+02	4.32E+01	8.64E+01	7.20E+01
1397736-1398353	4.97E+01	3.94E+01	1.03E+02	7.47E+01
1397736-1398353	8.02E+01	5.34E+01	1.48E+02	6.82E+01
1397736-1398353	1.07E+02	3.96E+01	7.70E+01	8.50E+01
1398365-1398919	3.18E+03	2.15E+03	3.70E+03	3.28E+03
1398365-1398919	3.26E+03	2.54E+03	4.03E+03	3.98E+03
1398365-1398919	3.97E+03	2.78E+03	3.98E+03	3.87E+03
1398365-1398919	4.02E+03	2.24E+03	4.58E+03	4.07E+03
1398946-1399635	2.82E+03	2.15E+03	3.35E+03	3.37E+03
1398946-1399635	2.70E+03	2.06E+03	3.26E+03	3.17E+03
1398946-1399635	2.34E+03	1.85E+03	3.63E+03	3.34E+03
1398946-1399635	2.59E+03	1.87E+03	3.86E+03	3.12E+03
1399745-1400107	7.34E+04	6.08E+04	7.07E+04	7.27E+04
1399745-1400107	7.96E+04	6.16E+04	7.29E+04	7.70E+04
1399745-1400107	8.50E+04	6.02E+04	6.58E+04	8.07E+04
1399745-1400107	8.12E+04	6.24E+04	7.24E+04	7.60E+04
1400189-1400698	4.37E+03	5.60E+03	4.47E+03	4.55E+03
1400189-1400698	5.10E+03	5.06E+03	4.53E+03	4.82E+03
1400189-1400698	4.20E+03	5.38E+03	4.56E+03	4.82E+03
1400189-1400698	5.27E+03	6.11E+03	5.22E+03	4.82E+03
1400682-1401752	2.28E+03	2.86E+03	2.65E+03	2.77E+03
1400682-1401752	2.63E+03	3.33E+03	3.09E+03	2.51E+03
1400682-1401752	2.22E+03	3.09E+03	2.58E+03	2.48E+03
1400682-1401752	2.53E+03	3.35E+03	2.55E+03	2.65E+03
1401749-1402954	1.15E+04	9.88E+03	1.25E+04	1.11E+04
1401749-1402954	1.11E+04	9.44E+03	1.16E+04	1.12E+04
1401749-1402954	1.03E+04	1.08E+04	1.23E+04	9.93E+03
1401749-1402954	1.23E+04	1.19E+04	1.29E+04	1.10E+04
1402956-1403171	4.35E+03	3.11E+03	3.77E+03	3.05E+03
1402956-1403171	4.06E+03	3.12E+03	3.65E+03	3.87E+03
1402956-1403171	4.16E+03	3.61E+03	3.66E+03	3.61E+03
1402956-1403171	3.99E+03	3.02E+03	4.49E+03	3.09E+03
1403174-1404061	1.37E+04	1.14E+04	1.59E+04	2.79E+04
1403174-1404061	1.28E+04	1.12E+04	1.58E+04	2.65E+04
1403174-1404061	1.43E+04	1.20E+04	1.65E+04	1.66E+04
1403174-1404061	1.67E+04	1.35E+04	2.43E+04	2.27E+04
140393-140932	2.38E+04	3.00E+04	2.79E+04	2.25E+04
140393-140932	2.48E+04	2.98E+04	2.54E+04	2.51E+04
140393-140932	2.53E+04	2.96E+04	2.47E+04	2.45E+04
140393-140932	2.48E+04	2.90E+04	2.51E+04	2.42E+04
1404091-1404528	7.28E+03	6.54E+03	7.87E+03	8.36E+03
1404091-1404528	7.46E+03	6.90E+03	8.04E+03	9.04E+03
1404091-1404528	7.60E+03	6.69E+03	9.62E+03	8.54E+03
1404091-1404528	8.19E+03	7.00E+03	9.80E+03	8.85E+03
1404562-1406427	2.34E+04	2.39E+04	2.75E+04	2.36E+04
1404562-1406427	2.25E+04	2.50E+04	2.56E+04	2.36E+04
1404562-1406427	1.58E+04	2.45E+04	2.63E+04	2.44E+04
1404562-1406427	2.41E+04	2.25E+04	2.57E+04	2.33E+04
1406560-1407372	1.36E+04	1.34E+04	1.55E+04	1.44E+04
1406560-1407372	1.39E+04	1.36E+04	1.53E+04	1.36E+04
1406560-1407372	1.46E+04	1.27E+04	1.47E+04	1.33E+04
1406560-1407372	1.45E+04	1.42E+04	1.60E+04	1.43E+04
1407392-1409071	1.92E+04	1.89E+04	2.68E+04	2.09E+04
1407392-1409071	2.06E+04	2.00E+04	2.41E+04	2.07E+04
1407392-1409071	1.94E+04	1.91E+04	2.43E+04	2.30E+04
1407392-1409071	2.22E+04	2.03E+04	2.47E+04	2.21E+04
1409285-1410151	5.53E+03	4.57E+03	6.01E+03	6.29E+03
1409285-1410151	6.29E+03	4.46E+03	5.75E+03	5.01E+03
1409285-1410151	5.89E+03	4.96E+03	6.44E+03	5.94E+03
1409285-1410151	6.90E+03	4.75E+03	6.40E+03	6.23E+03
1411397-1412455	8.23E+02	5.54E+02	5.58E+02	5.38E+02
1411397-1412455	1.12E+03	5.34E+02	7.77E+02	5.23E+02
1411397-1412455	1.16E+03	7.34E+02	8.78E+02	4.57E+02
1411397-1412455	9.20E+02	5.07E+02	4.84E+02	4.32E+02
1412597-1413421	5.70E+04	4.78E+04	5.45E+04	5.38E+04
1412597-1413421	6.01E+04	4.96E+04	5.32E+04	5.34E+04
1412597-1413421	5.33E+04	4.40E+04	5.00E+04	5.15E+04
1412597-1413421	5.43E+04	4.93E+04	5.53E+04	4.95E+04
1413834-1414955	8.56E+03	1.10E+04	9.41E+03	8.58E+03
1413834-1414955	8.18E+03	1.16E+04	9.54E+03	8.55E+03
1413834-1414955	9.12E+03	1.18E+04	9.04E+03	8.67E+03
1413834-1414955	8.68E+03	9.37E+03	8.66E+03	7.62E+03
1414973-1415848	1.43E+04	1.43E+04	2.34E+04	1.75E+04
1414973-1415848	1.76E+04	1.38E+04	1.99E+04	1.69E+04
1414973-1415848	1.71E+04	1.60E+04	1.96E+04	1.82E+04
1414973-1415848	1.80E+04	1.53E+04	1.80E+04	1.80E+04
1415872-1416564	1.09E+04	1.26E+04	1.37E+04	1.14E+04
1415872-1416564	1.09E+04	1.30E+04	1.36E+04	1.04E+04
1415872-1416564	1.06E+04	1.36E+04	1.32E+04	1.13E+04
1415872-1416564	1.12E+04	1.41E+04	1.44E+04	1.07E+04
1416572-1417396	1.52E+04	2.00E+04	2.36E+04	1.90E+04
1416572-1417396	1.78E+04	2.00E+04	2.15E+04	1.78E+04
1416572-1417396	1.65E+04	1.65E+04	2.05E+04	1.72E+04
1416572-1417396	1.78E+04	1.97E+04	2.04E+04	1.78E+04
1417401-1418468	2.76E+04	2.72E+04	3.69E+04	3.23E+04
1417401-1418468	3.49E+04	2.75E+04	3.51E+04	3.36E+04
1417401-1418468	3.70E+04	2.94E+04	3.51E+04	2.91E+04
1417401-1418468	3.37E+04	2.92E+04	3.60E+04	3.42E+04
1418470-1419006	1.34E+04	1.26E+04	1.33E+04	1.41E+04
1418470-1419006	1.32E+04	1.18E+04	1.52E+04	1.34E+04
1418470-1419006	1.29E+04	1.18E+04	1.35E+04	1.34E+04
1418470-1419006	1.33E+04	1.34E+04	1.37E+04	1.34E+04
1419074-1419679	7.37E+03	6.30E+03	8.70E+03	8.78E+03
1419074-1419679	8.08E+03	6.54E+03	8.77E+03	8.07E+03
1419074-1419679	7.70E+03	6.11E+03	7.56E+03	7.90E+03
1419074-1419679	7.82E+03	6.08E+03	7.95E+03	8.48E+03
1419691-1420605	1.58E+04	9.86E+03	1.32E+04	1.32E+04
1419691-1420605	1.48E+04	1.10E+04	1.31E+04	1.28E+04
1419691-1420605	1.47E+04	9.51E+03	1.24E+04	1.40E+04
1419691-1420605	1.50E+04	9.86E+03	1.41E+04	1.38E+04
1420647-1421819	1.58E+04	1.40E+04	2.11E+04	1.83E+04
1420647-1421819	1.74E+04	1.41E+04	1.83E+04	1.72E+04
1420647-1421819	1.39E+04	1.52E+04	2.11E+04	1.70E+04
1420647-1421819	1.91E+04	1.45E+04	2.30E+04	2.03E+04
1421866-1422678	1.92E+04	1.55E+04	1.98E+04	1.82E+04
1421866-1422678	1.82E+04	1.58E+04	1.86E+04	1.81E+04
1421866-1422678	1.97E+04	1.63E+04	1.99E+04	1.81E+04
1421866-1422678	1.72E+04	1.61E+04	1.99E+04	1.69E+04
1422867-1424207	5.42E+03	4.62E+03	5.74E+03	5.60E+03
1422867-1424207	5.56E+03	4.69E+03	5.53E+03	5.86E+03
1422867-1424207	4.98E+03	5.41E+03	5.54E+03	5.40E+03
1422867-1424207	5.01E+03	4.72E+03	5.71E+03	5.45E+03
1424420-1425499	3.12E+03	2.70E+03	3.30E+03	3.19E+03
1424420-1425499	2.98E+03	2.92E+03	3.38E+03	3.19E+03
1424420-1425499	3.56E+03	2.90E+03	3.46E+03	3.30E+03
1424420-1425499	3.49E+03	2.89E+03	3.98E+03	3.34E+03
1425671-1426345	8.05E+03	1.02E+04	4.96E+03	3.65E+03
1425671-1426345	7.84E+03	1.01E+04	5.37E+03	4.38E+03
1425671-1426345	7.70E+03	9.28E+03	4.90E+03	4.79E+03
1425671-1426345	6.99E+03	8.91E+03	5.74E+03	4.12E+03
1426332-1427579	3.90E+04	2.40E+04	3.24E+04	3.04E+04
1426332-1427579	3.42E+04	2.72E+04	3.25E+04	2.75E+04
1426332-1427579	3.60E+04	2.51E+04	3.16E+04	2.85E+04
1426332-1427579	3.66E+04	2.67E+04	3.83E+04	2.86E+04
1427651-1429315	1.24E+03	1.12E+03	1.28E+03	1.49E+03
1427651-1429315	9.45E+02	1.11E+03	1.02E+03	8.01E+02
1427651-1429315	1.09E+03	1.06E+03	9.49E+02	9.29E+02
1427651-1429315	1.12E+03	1.19E+03	1.00E+03	8.65E+02
1432373-1433800	2.12E+03	2.01E+03	1.98E+03	1.87E+03
1432373-1433800	2.13E+03	2.22E+03	2.36E+03	1.82E+03
1432373-1433800	2.22E+03	2.23E+03	2.17E+03	2.01E+03
1432373-1433800	1.97E+03	1.98E+03	2.16E+03	1.89E+03
1439206-1439550	5.79E+02	5.03E+02	1.01E+03	8.53E+02
1439206-1439550	6.37E+02	4.94E+02	7.10E+02	7.65E+02
1439206-1439550	7.01E+02	4.94E+02	9.48E+02	7.66E+02
1439206-1439550	5.17E+02	5.47E+02	7.04E+02	9.77E+02
1442312-1442701	4.93E+02	3.52E+02	4.80E+02	3.91E+02
1442312-1442701	4.95E+02	3.36E+02	5.51E+02	4.96E+02
1442312-1442701	3.96E+02	3.75E+02	6.64E+02	4.19E+02
1442312-1442701	5.51E+02	3.88E+02	2.37E+02	5.72E+02
1443026-1443535	7.36E+03	6.40E+03	7.90E+03	8.66E+03
1443026-1443535	8.92E+03	6.65E+03	7.00E+03	9.10E+03
1443026-1443535	9.64E+03	7.09E+03	7.66E+03	8.83E+03
1443026-1443535	8.66E+03	6.69E+03	7.42E+03	7.92E+03
1445294-1445668	1.09E+02	3.78E+01	3.13E+02	7.03E+01
1445294-1445668	9.36E+01	3.91E+01	2.62E+02	7.27E+01
1445294-1445668	1.48E+02	3.54E+01	7.84E+01	6.58E+01
1445294-1445668	1.46E+02	3.59E+01	7.81E+01	6.67E+01
1445652-1446386	5.54E+02	3.98E+02	5.36E+02	3.20E+02
1445652-1446386	4.98E+02	4.11E+02	8.76E+02	5.11E+02
1445652-1446386	5.25E+02	4.22E+02	5.26E+02	6.34E+02
1445652-1446386	5.87E+02	5.47E+02	5.40E+02	5.17E+02
1446406-1446825	3.55E+02	2.02E+02	3.87E+02	6.10E+02
1446406-1446825	2.74E+02	1.81E+02	3.68E+02	3.07E+02
1446406-1446825	3.86E+02	2.82E+02	5.97E+02	5.28E+02
1446406-1446825	3.50E+02	2.07E+02	4.58E+02	4.80E+02
1446815-1447339	4.18E+03	2.69E+03	4.07E+03	3.62E+03
1446815-1447339	4.01E+03	2.68E+03	3.87E+03	3.60E+03
1446815-1447339	3.94E+03	2.74E+03	3.90E+03	3.41E+03
1446815-1447339	4.27E+03	3.40E+03	3.86E+03	3.77E+03
1447651-1448208	1.29E+05	1.41E+05	1.11E+05	1.20E+05
1447651-1448208	1.13E+05	1.35E+05	1.16E+05	1.23E+05
1447651-1448208	1.19E+05	1.35E+05	1.20E+05	1.15E+05
1447651-1448208	1.21E+05	1.44E+05	1.23E+05	1.08E+05
1448300-1448755	8.41E+04	7.18E+04	9.08E+04	7.93E+04
1448300-1448755	8.39E+04	6.61E+04	8.83E+04	8.87E+04
1448300-1448755	9.19E+04	6.93E+04	8.51E+04	8.60E+04
1448300-1448755	8.21E+04	6.42E+04	8.22E+04	7.86E+04
1448918-1449628	8.16E+03	7.48E+03	7.17E+03	7.09E+03
1448918-1449628	8.49E+03	7.58E+03	7.03E+03	7.38E+03
1448918-1449628	9.06E+03	8.44E+03	6.73E+03	7.24E+03
1448918-1449628	9.45E+03	8.43E+03	6.87E+03	7.40E+03
1449682-1450752	1.02E+04	1.09E+04	1.14E+04	1.13E+04
1449682-1450752	1.20E+04	1.02E+04	9.72E+03	1.14E+04
1449682-1450752	1.03E+04	1.08E+04	1.07E+04	1.12E+04
1449682-1450752	1.11E+04	1.13E+04	1.09E+04	1.03E+04
1450780-1454334	8.11E+03	8.63E+03	7.98E+03	8.73E+03
1450780-1454334	8.49E+03	8.67E+03	8.66E+03	8.26E+03
1450780-1454334	9.67E+03	1.10E+04	8.42E+03	8.40E+03
1450780-1454334	7.69E+03	9.04E+03	8.08E+03	8.25E+03
1454361-1455641	3.25E+04	2.55E+04	3.96E+04	3.17E+04
1454361-1455641	2.93E+04	2.40E+04	3.41E+04	3.07E+04
1454361-1455641	3.24E+04	2.65E+04	3.56E+04	2.99E+04
1454361-1455641	3.30E+04	2.58E+04	3.71E+04	3.10E+04
1455744-1456112	1.32E+04	9.20E+03	1.37E+04	1.23E+04
1455744-1456112	1.54E+04	1.06E+04	1.46E+04	1.34E+04
1455744-1456112	1.60E+04	1.03E+04	1.38E+04	1.46E+04
1455744-1456112	1.52E+04	1.06E+04	1.46E+04	1.29E+04
1456109-1457461	6.52E+04	6.87E+04	5.72E+04	5.02E+04
1456109-1457461	6.13E+04	6.46E+04	6.25E+04	5.49E+04
1456109-1457461	5.50E+04	5.97E+04	6.09E+04	5.68E+04
1456109-1457461	7.37E+04	7.03E+04	6.87E+04	5.76E+04
1457499-1457771	8.32E+04	6.62E+04	6.63E+04	7.19E+04
1457499-1457771	7.09E+04	6.91E+04	7.13E+04	7.73E+04
1457499-1457771	8.87E+04	7.23E+04	7.69E+04	7.05E+04
1457499-1457771	7.74E+04	6.73E+04	7.43E+04	6.96E+04
1457836-1458063	1.75E+05	1.30E+05	1.76E+05	1.73E+05
1457836-1458063	1.87E+05	1.21E+05	1.72E+05	1.65E+05
1457836-1458063	1.86E+05	1.15E+05	1.75E+05	1.70E+05
1457836-1458063	1.79E+05	1.16E+05	1.72E+05	1.73E+05
1458171-1458686	3.16E+04	2.73E+04	2.83E+04	2.51E+04
1458171-1458686	3.41E+04	2.78E+04	2.65E+04	2.68E+04
1458171-1458686	3.06E+04	2.50E+04	3.01E+04	2.56E+04
1458171-1458686	2.98E+04	2.46E+04	3.02E+04	2.76E+04
1458695-1459390	5.47E+04	4.75E+04	6.05E+04	5.12E+04
1458695-1459390	4.85E+04	4.53E+04	5.23E+04	5.23E+04
1458695-1459390	5.02E+04	4.81E+04	5.45E+04	5.26E+04
1458695-1459390	4.70E+04	4.48E+04	5.11E+04	4.80E+04
1459575-1459925	4.77E+04	5.31E+04	5.45E+04	5.35E+04
1459575-1459925	6.75E+04	5.30E+04	5.61E+04	5.31E+04
1459575-1459925	5.98E+04	5.41E+04	5.43E+04	4.80E+04
