ProbeName	6308A	6308B	6308C
1021974-1022894	9.12E+02	9.53E+02	9.20E+02
1023154-1023588	1.02E+03	2.28E+03	5.85E+02
1023154-1023588	1.17E+03	2.16E+03	6.57E+02
1023154-1023588	1.15E+03	2.21E+03	6.68E+02
1023154-1023588	1.14E+03	2.24E+03	6.39E+02
1023611-1025146	5.11E+02	8.26E+02	2.51E+02
1023611-1025146	5.66E+02	9.27E+02	3.60E+02
1023611-1025146	5.41E+02	8.29E+02	3.32E+02
1023611-1025146	1.36E+03	8.56E+02	3.10E+02
102481-102792	6.73E+04	5.57E+04	5.01E+04
102481-102792	6.05E+04	4.77E+04	4.84E+04
102481-102792	6.18E+04	5.07E+04	4.71E+04
102481-102792	6.73E+04	5.12E+04	4.04E+04
1025230-1026597	3.61E+03	2.92E+03	2.03E+03
1025230-1026597	3.58E+03	3.07E+03	2.19E+03
1025230-1026597	4.06E+03	3.96E+03	2.55E+03
1025230-1026597	3.71E+03	2.86E+03	2.14E+03
1026632-1026856	8.43E+03	8.54E+03	5.57E+03
1026632-1026856	8.92E+03	9.44E+03	6.36E+03
1026632-1026856	9.10E+03	9.27E+03	6.09E+03
1026632-1026856	8.89E+03	8.39E+03	6.00E+03
1028468-1029454	2.95E+04	2.69E+04	3.23E+04
1028468-1029454	2.79E+04	2.38E+04	3.27E+04
1028468-1029454	2.71E+04	2.19E+04	2.99E+04
1028468-1029454	2.98E+04	2.65E+04	3.05E+04
102884-103513	4.35E+04	3.22E+04	2.68E+04
102884-103513	3.97E+04	2.97E+04	2.54E+04
102884-103513	4.53E+04	3.29E+04	2.80E+04
102884-103513	4.52E+04	3.03E+04	2.52E+04
1029438-1030349	4.20E+04	3.82E+04	3.56E+04
1029438-1030349	4.84E+04	4.65E+04	3.80E+04
1029438-1030349	4.08E+04	3.84E+04	3.42E+04
1029438-1030349	4.14E+04	3.91E+04	3.23E+04
1030462-1032030	6.37E+04	5.41E+04	6.32E+04
1030462-1032030	5.38E+04	5.06E+04	6.67E+04
1030462-1032030	5.20E+04	4.67E+04	6.68E+04
1030462-1032030	6.24E+04	5.69E+04	6.56E+04
1032105-1033130	6.02E+04	4.77E+04	7.35E+04
1032105-1033130	5.55E+04	4.84E+04	7.05E+04
1032105-1033130	5.91E+04	5.37E+04	6.56E+04
1032105-1033130	5.85E+04	5.07E+04	6.38E+04
103513-104166	7.16E+04	6.98E+04	5.20E+04
103513-104166	7.81E+04	6.46E+04	4.83E+04
103513-104166	6.78E+04	5.88E+04	4.81E+04
103513-104166	7.33E+04	5.82E+04	4.26E+04
1037298-1037927	3.77E+02	1.90E+03	1.74E+02
1037298-1037927	5.79E+02	2.20E+03	1.38E+02
1037298-1037927	5.58E+02	2.37E+03	3.30E+02
1037298-1037927	4.86E+02	2.34E+03	2.17E+02
1038062-1038388	7.13E+02	1.08E+03	4.16E+02
1038062-1038388	9.84E+02	1.66E+03	4.41E+02
1038062-1038388	9.94E+02	1.47E+03	4.64E+02
1038062-1038388	7.50E+02	1.03E+03	4.80E+02
1038389-1039693	1.43E+03	2.78E+03	6.46E+02
1038389-1039693	1.17E+03	2.38E+03	5.14E+02
1038389-1039693	1.17E+03	2.56E+03	5.89E+02
1038389-1039693	1.27E+03	2.80E+03	6.10E+02
1039717-1040046	2.70E+02	6.61E+02	1.31E+02
1039717-1040046	2.90E+02	6.15E+02	1.10E+02
1039717-1040046	2.42E+02	6.27E+02	9.91E+01
1039717-1040046	2.73E+02	6.57E+02	2.88E+02
1040194-1041522	5.77E+02	1.53E+03	4.13E+02
1040194-1041522	6.88E+02	1.72E+03	4.53E+02
1040194-1041522	8.71E+02	1.83E+03	5.03E+02
1040194-1041522	8.13E+02	1.90E+03	5.25E+02
104166-104456	6.15E+04	4.83E+04	4.02E+04
104166-104456	6.17E+04	4.88E+04	3.91E+04
104166-104456	5.87E+04	4.51E+04	3.59E+04
104166-104456	6.44E+04	5.23E+04	3.89E+04
1041845-1042699	1.09E+04	1.10E+04	1.42E+04
1041845-1042699	1.13E+04	1.19E+04	1.42E+04
1041845-1042699	1.14E+04	1.14E+04	8.12E+03
1041845-1042699	1.17E+04	1.23E+04	1.34E+04
1042904-1043884	7.56E+03	7.77E+03	9.43E+03
1042904-1043884	7.47E+03	8.15E+03	1.12E+04
1042904-1043884	7.37E+03	7.73E+03	9.78E+03
1042904-1043884	7.69E+03	7.53E+03	9.89E+03
1044087-1044536	2.07E+02	5.18E+02	1.83E+02
1044087-1044536	2.30E+02	4.69E+02	2.00E+02
1044087-1044536	2.27E+02	5.49E+02	1.89E+02
1044087-1044536	2.31E+02	6.13E+02	2.00E+02
104486-105316	3.84E+04	2.09E+04	2.31E+04
104486-105316	3.00E+04	1.85E+04	1.95E+04
104486-105316	3.57E+04	2.01E+04	2.23E+04
104486-105316	3.66E+04	2.22E+04	2.34E+04
1045819-1046631	4.84E+03	4.28E+03	3.97E+03
1045819-1046631	5.69E+03	3.67E+03	4.62E+03
1045819-1046631	4.96E+03	4.83E+03	5.11E+03
1045819-1046631	6.09E+03	4.41E+03	4.47E+03
1046780-1047463	1.21E+03	1.16E+03	1.12E+03
1046780-1047463	1.30E+03	1.36E+03	1.15E+03
1046780-1047463	1.38E+03	1.28E+03	1.12E+03
1046780-1047463	1.29E+03	1.24E+03	1.07E+03
1047464-1048540	1.27E+03	1.34E+03	1.06E+03
1047464-1048540	1.56E+03	1.80E+03	1.31E+03
1047464-1048540	1.60E+03	1.80E+03	1.24E+03
1047464-1048540	1.77E+03	1.88E+03	1.26E+03
1048546-1049103	1.75E+03	1.90E+03	1.33E+03
1048546-1049103	1.62E+03	1.87E+03	1.37E+03
1048546-1049103	1.47E+03	1.75E+03	1.26E+03
1048546-1049103	1.69E+03	1.90E+03	1.11E+03
105351-105632	5.52E+04	4.71E+04	4.04E+04
105351-105632	5.88E+04	4.48E+04	4.01E+04
105351-105632	5.14E+04	3.73E+04	3.60E+04
105351-105632	6.48E+04	4.69E+04	3.95E+04
1056435-1058015	9.25E+03	9.51E+03	7.27E+03
1056435-1058015	9.64E+03	9.34E+03	7.99E+03
1056435-1058015	1.08E+04	1.05E+04	8.06E+03
1056435-1058015	1.14E+04	1.09E+04	8.03E+03
105664-105999	6.05E+04	3.45E+04	3.81E+04
105664-105999	5.75E+04	3.81E+04	3.77E+04
105664-105999	6.54E+04	4.58E+04	4.04E+04
105664-105999	6.19E+04	4.34E+04	3.24E+04
1058187-1058633	7.30E+03	5.25E+03	3.94E+03
1058187-1058633	7.33E+03	5.22E+03	4.04E+03
1058187-1058633	8.09E+03	5.38E+03	4.17E+03
1058187-1058633	8.38E+03	5.95E+03	3.39E+03
1058654-1059697	1.71E+04	1.46E+04	1.64E+04
1058654-1059697	1.74E+04	1.58E+04	1.59E+04
1058654-1059697	1.67E+04	1.39E+04	1.45E+04
1058654-1059697	1.81E+04	1.49E+04	1.57E+04
106022-106837	6.77E+04	5.82E+04	5.05E+04
106022-106837	8.75E+04	6.46E+04	4.38E+04
106022-106837	8.16E+04	6.76E+04	4.49E+04
106022-106837	8.07E+04	6.77E+04	3.65E+04
1060468-1061628	2.56E+03	2.17E+03	3.05E+03
1060468-1061628	3.13E+03	2.75E+03	3.36E+03
1060468-1061628	3.46E+03	3.17E+03	3.05E+03
1060468-1061628	3.92E+03	3.47E+03	4.04E+03
1061630-1062760	5.12E+03	3.77E+03	4.84E+03
1061630-1062760	5.28E+03	3.61E+03	4.80E+03
1061630-1062760	4.66E+03	3.31E+03	4.48E+03
1061630-1062760	4.23E+03	3.06E+03	4.87E+03
1062789-1064231	9.22E+03	1.04E+04	1.27E+04
1062789-1064231	1.06E+04	1.08E+04	1.45E+04
1062789-1064231	1.15E+04	1.07E+04	1.34E+04
1062789-1064231	1.06E+04	1.05E+04	1.16E+04
1064224-1066665	9.23E+03	9.06E+03	1.12E+04
1064224-1066665	1.17E+04	1.13E+04	1.20E+04
1064224-1066665	1.04E+04	9.68E+03	1.13E+04
1064224-1066665	1.05E+04	9.72E+03	1.12E+04
1066670-1068535	8.98E+03	7.93E+03	9.05E+03
1066670-1068535	7.96E+03	8.25E+03	9.48E+03
1066670-1068535	8.16E+03	7.87E+03	8.71E+03
1066670-1068535	8.17E+03	8.22E+03	8.55E+03
106873-107304	8.31E+04	7.38E+04	4.71E+04
106873-107304	8.49E+04	8.48E+04	4.64E+04
106873-107304	8.59E+04	7.15E+04	4.47E+04
106873-107304	8.76E+04	7.38E+04	4.58E+04
1068780-1069433	4.35E+03	4.08E+03	3.36E+03
1068780-1069433	3.85E+03	4.04E+03	3.11E+03
1068780-1069433	3.84E+03	3.48E+03	3.13E+03
1068780-1069433	4.02E+03	3.66E+03	3.19E+03
1070071-1071546	1.93E+03	1.47E+03	8.45E+02
1070071-1071546	2.09E+03	1.67E+03	7.97E+02
1070071-1071546	1.95E+03	1.54E+03	8.06E+02
1070071-1071546	2.05E+03	1.72E+03	9.26E+02
1071633-1072046	2.54E+03	2.50E+03	1.26E+03
1071633-1072046	2.75E+03	2.64E+03	1.32E+03
1071633-1072046	2.83E+03	2.74E+03	1.39E+03
1071633-1072046	2.79E+03	2.57E+03	1.27E+03
1072076-1072927	1.27E+03	1.74E+03	6.97E+02
1072076-1072927	1.11E+03	1.58E+03	6.66E+02
1072076-1072927	1.12E+03	1.70E+03	7.58E+02
1072076-1072927	1.05E+03	1.77E+03	6.52E+02
1072917-1073795	1.25E+03	1.16E+03	1.03E+03
1072917-1073795	1.44E+03	1.40E+03	1.02E+03
1072917-1073795	1.39E+03	1.29E+03	8.43E+02
1072917-1073795	1.52E+03	1.35E+03	9.93E+02
107306-107509	2.22E+04	1.69E+04	1.15E+04
107306-107509	2.46E+04	1.73E+04	1.05E+04
107306-107509	2.56E+04	1.69E+04	1.11E+04
107306-107509	2.73E+04	1.92E+04	1.08E+04
1074603-1076132	1.17E+04	9.55E+03	1.15E+04
1074603-1076132	1.32E+04	1.34E+04	1.65E+04
1074603-1076132	1.49E+04	1.70E+04	1.80E+04
1074603-1076132	1.84E+04	1.69E+04	1.53E+04
107533-107787	3.88E+04	3.22E+04	3.03E+04
107533-107787	4.27E+04	3.21E+04	2.67E+04
107533-107787	4.05E+04	3.34E+04	2.70E+04
107533-107787	4.53E+04	3.44E+04	2.47E+04
1076412-1077908	1.81E+04	1.84E+04	1.36E+04
1076412-1077908	2.07E+04	2.05E+04	1.65E+04
1076412-1077908	2.51E+04	2.38E+04	1.78E+04
1076412-1077908	2.17E+04	1.91E+04	1.61E+04
1078053-1078967	1.20E+04	1.11E+04	9.65E+03
1078053-1078967	1.13E+04	9.59E+03	8.86E+03
1078053-1078967	1.21E+04	9.90E+03	9.27E+03
1078053-1078967	1.09E+04	9.41E+03	9.18E+03
107813-108181	5.61E+04	4.98E+04	4.63E+04
107813-108181	4.66E+04	4.11E+04	4.29E+04
107813-108181	6.72E+04	5.40E+04	4.36E+04
107813-108181	6.29E+04	4.63E+04	4.02E+04
1079085-1079276	3.09E+04	3.57E+04	3.06E+04
1079085-1079276	3.58E+04	3.71E+04	3.26E+04
1079085-1079276	3.37E+04	3.50E+04	2.99E+04
1079085-1079276	3.33E+04	3.40E+04	3.05E+04
1079499-1079849	3.35E+03	3.14E+03	2.16E+03
1079499-1079849	3.55E+03	2.88E+03	2.11E+03
1079499-1079849	3.30E+03	2.97E+03	2.10E+03
1079499-1079849	3.44E+03	3.01E+03	2.04E+03
1080111-1081616	2.51E+03	2.03E+03	3.13E+03
1080111-1081616	2.41E+03	1.84E+03	2.73E+03
1080111-1081616	2.38E+03	2.02E+03	2.42E+03
1080111-1081616	3.14E+03	2.54E+03	3.38E+03
1082006-1083103	1.11E+03	2.00E+03	8.87E+02
1082006-1083103	1.28E+03	2.03E+03	8.16E+02
1082006-1083103	1.21E+03	2.30E+03	8.95E+02
1082006-1083103	1.19E+03	2.44E+03	8.25E+02
108202-108510	2.55E+04	1.85E+04	2.00E+04
108202-108510	2.83E+04	1.69E+04	1.84E+04
108202-108510	2.80E+04	1.85E+04	1.99E+04
108202-108510	2.98E+04	1.74E+04	1.68E+04
1083366-1084502	2.78E+03	2.21E+03	1.83E+03
1083366-1084502	2.43E+03	2.08E+03	1.77E+03
1083366-1084502	2.47E+03	2.06E+03	1.63E+03
1083366-1084502	2.31E+03	2.13E+03	1.60E+03
1084489-1086042	1.54E+03	1.42E+03	1.13E+03
1084489-1086042	1.53E+03	1.56E+03	1.31E+03
1084489-1086042	1.72E+03	1.59E+03	1.57E+03
1084489-1086042	2.17E+03	1.83E+03	1.41E+03
108540-109082	5.85E+04	4.70E+04	3.49E+04
108540-109082	5.77E+04	4.70E+04	3.83E+04
108540-109082	6.09E+04	5.15E+04	3.67E+04
108540-109082	6.07E+04	4.41E+04	3.60E+04
1086376-1087242	5.79E+01	4.86E+02	1.95E+01
1086376-1087242	4.69E+01	3.94E+02	3.16E+01
1086376-1087242	5.87E+01	5.32E+02	3.32E+01
1086376-1087242	6.61E+01	4.63E+02	3.17E+01
109100-109285	8.86E+04	6.81E+04	4.69E+04
109100-109285	8.05E+04	7.02E+04	4.50E+04
109100-109285	8.19E+04	7.18E+04	4.55E+04
109100-109285	7.93E+04	6.62E+04	3.81E+04
109318-109716	6.67E+04	4.81E+04	1.53E+04
109318-109716	6.55E+04	5.21E+04	3.91E+04
109318-109716	6.48E+04	5.19E+04	3.85E+04
109318-109716	7.15E+04	5.36E+04	3.36E+04
1094326-1094514	5.47E+02	8.41E+02	1.46E+02
1094326-1094514	5.52E+02	8.72E+02	1.68E+02
1094326-1094514	2.55E+02	6.48E+02	1.59E+02
1094326-1094514	5.77E+02	9.35E+02	2.10E+02
1094548-1095342	9.12E+02	1.55E+03	2.73E+02
1094548-1095342	8.32E+02	1.68E+03	2.51E+02
1094548-1095342	7.89E+02	1.45E+03	3.41E+02
1094548-1095342	5.93E+02	1.39E+03	3.13E+02
1095404-1095604	1.75E+02	4.42E+02	1.15E+02
1095404-1095604	3.70E+02	5.31E+02	1.20E+02
1095404-1095604	2.64E+02	5.22E+02	1.09E+02
1095404-1095604	2.58E+02	4.53E+02	2.21E+02
1096282-1096479	7.20E+02	1.59E+03	2.13E+02
1096282-1096479	6.50E+02	1.73E+03	1.86E+02
1096282-1096479	5.77E+02	1.77E+03	2.81E+02
1096282-1096479	6.82E+02	1.86E+03	2.38E+02
1096496-1096825	1.21E+02	4.64E+02	3.07E+01
1096496-1096825	6.25E+01	5.22E+02	3.72E+01
1096496-1096825	1.79E+02	5.46E+02	1.13E+02
1096496-1096825	8.86E+01	5.43E+02	3.49E+01
1096927-1097115	3.62E+02	5.40E+02	7.51E+01
1096927-1097115	3.93E+02	5.53E+02	7.78E+01
1096927-1097115	3.42E+02	6.91E+02	8.59E+01
1096927-1097115	3.33E+02	5.32E+02	7.57E+01
1097125-1097343	9.17E+01	5.82E+02	1.96E+01
1097125-1097343	8.51E+01	6.22E+02	2.47E+01
1097125-1097343	8.11E+01	4.98E+02	1.96E+01
1097125-1097343	7.51E+01	5.48E+02	2.49E+01
1097442-1097684	8.37E+02	1.85E+03	4.62E+02
1097442-1097684	9.57E+02	1.94E+03	5.41E+02
1097442-1097684	1.07E+03	1.97E+03	6.12E+02
1097442-1097684	8.41E+02	1.90E+03	5.91E+02
109747-110289	4.88E+04	3.98E+04	2.68E+04
109747-110289	4.73E+04	4.03E+04	2.23E+04
109747-110289	4.57E+04	3.58E+04	2.05E+04
109747-110289	4.55E+04	3.64E+04	1.95E+04
1097768-1098283	1.03E+03	1.83E+03	5.69E+02
1097768-1098283	1.05E+03	1.66E+03	6.60E+02
1097768-1098283	1.14E+03	1.73E+03	5.90E+02
1097768-1098283	1.02E+03	1.71E+03	6.54E+02
1098285-1099187	6.33E+02	1.85E+03	1.21E+02
1098285-1099187	3.43E+02	1.52E+03	1.56E+02
1098285-1099187	4.25E+02	1.48E+03	1.42E+02
1098285-1099187	5.58E+02	1.78E+03	1.97E+02
1099200-1100039	2.16E+01	2.03E+02	8.22E+00
1099200-1100039	3.46E+01	1.68E+02	1.42E+01
1099200-1100039	3.19E+01	1.42E+02	1.16E+01
1099200-1100039	1.88E+01	1.87E+02	1.62E+01
1100110-1100364	3.48E+02	8.83E+02	1.11E+02
1100110-1100364	3.30E+02	8.83E+02	1.67E+02
1100110-1100364	3.62E+02	1.12E+03	2.01E+02
1100110-1100364	3.14E+02	1.07E+03	2.01E+02
1100438-1100701	1.31E+03	2.21E+03	5.78E+02
1100438-1100701	1.55E+03	1.67E+03	7.08E+02
1100438-1100701	1.25E+03	1.89E+03	8.35E+02
1100438-1100701	7.40E+02	2.17E+03	7.39E+02
1100713-1101063	1.51E+03	1.91E+03	7.97E+02
1100713-1101063	1.39E+03	1.95E+03	8.76E+02
1100713-1101063	1.34E+03	1.72E+03	9.17E+02
1100713-1101063	1.18E+03	1.85E+03	8.98E+02
1101067-1101447	2.94E+03	4.82E+03	2.06E+03
1101067-1101447	3.25E+03	5.46E+03	2.57E+03
1101067-1101447	3.19E+03	5.14E+03	1.90E+03
1101067-1101447	2.95E+03	4.82E+03	1.99E+03
1101431-1101577	5.97E+02	1.39E+03	2.10E+02
1101431-1101577	5.42E+02	1.43E+03	3.06E+02
1101431-1101577	7.39E+02	1.69E+03	4.50E+02
1101431-1101577	5.12E+02	2.00E+03	5.83E+02
1101707-1101880	3.62E+02	6.82E+02	1.07E+02
1101707-1101880	4.07E+02	8.49E+02	1.14E+02
1101707-1101880	3.81E+02	9.45E+02	7.57E+01
1101707-1101880	3.17E+02	9.31E+02	9.79E+01
1101998-1102333	1.89E+02	7.26E+02	7.96E+01
1101998-1102333	2.23E+02	7.55E+02	5.94E+01
1101998-1102333	2.73E+02	8.44E+02	8.61E+01
1101998-1102333	2.67E+02	7.83E+02	8.98E+01
1102433-1102708	1.48E+03	2.46E+03	6.17E+02
1102433-1102708	1.58E+03	2.92E+03	7.42E+02
1102433-1102708	1.27E+03	2.69E+03	9.09E+02
1102433-1102708	1.92E+03	3.70E+03	9.89E+02
1102804-1103877	5.09E+01	1.62E+02	3.40E+01
1102804-1103877	5.71E+01	1.83E+02	3.19E+01
1102804-1103877	7.62E+01	1.68E+02	4.53E+01
1102804-1103877	6.38E+01	1.78E+02	3.48E+01
110325-110693	8.83E+04	7.90E+04	6.13E+04
110325-110693	8.54E+04	6.97E+04	5.34E+04
110325-110693	8.92E+04	7.56E+04	5.46E+04
110325-110693	8.48E+04	6.81E+04	4.83E+04
1103957-1104166	4.83E+02	1.10E+03	1.12E+02
1103957-1104166	3.14E+02	1.12E+03	1.27E+02
1103957-1104166	5.19E+02	1.25E+03	1.72E+02
1103957-1104166	4.02E+02	1.34E+03	1.94E+02
1104178-1105173	1.10E+02	4.81E+02	3.14E+01
1104178-1105173	9.49E+01	4.66E+02	3.67E+01
1104178-1105173	1.03E+02	5.30E+02	3.59E+01
1104178-1105173	8.01E+01	5.19E+02	4.72E+01
1105182-1105907	2.19E+02	1.18E+03	1.06E+02
1105182-1105907	3.30E+02	9.57E+02	8.72E+01
1105182-1105907	2.71E+02	1.19E+03	1.00E+02
1105182-1105907	3.58E+02	1.01E+03	1.15E+02
1105904-1106077	1.48E+03	1.99E+03	6.15E+02
1105904-1106077	1.23E+03	2.04E+03	7.81E+02
1105904-1106077	1.04E+03	1.71E+03	4.85E+02
1105904-1106077	1.13E+03	2.06E+03	5.47E+02
1106070-1106441	3.91E+03	4.45E+03	2.29E+03
1106070-1106441	4.69E+03	4.98E+03	3.15E+03
1106070-1106441	4.00E+03	4.89E+03	3.02E+03
1106070-1106441	4.48E+03	5.27E+03	3.13E+03
1106444-1106911	7.56E+02	1.11E+03	2.65E+02
1106444-1106911	7.47E+02	1.43E+03	2.24E+02
1106444-1106911	7.51E+02	1.23E+03	2.77E+02
1106444-1106911	6.51E+02	1.39E+03	2.94E+02
1106990-1107175	7.10E+02	2.41E+03	2.10E+02
1106990-1107175	7.07E+02	2.42E+03	2.09E+02
1106990-1107175	5.76E+02	2.32E+03	3.29E+02
1106990-1107175	6.46E+02	2.71E+03	4.08E+02
110714-111223	8.58E+04	6.60E+04	5.06E+04
110714-111223	8.93E+04	7.64E+04	5.06E+04
110714-111223	8.69E+04	7.33E+04	4.67E+04
110714-111223	8.54E+04	7.83E+04	4.60E+04
1107180-1107428	2.61E+01	6.32E+01	6.54E+00
1107180-1107428	2.35E+01	1.22E+02	1.34E+01
1107180-1107428	3.23E+01	9.74E+01	9.07E+00
1107180-1107428	4.59E+01	1.29E+02	1.69E+02
1107447-1107560	1.56E+03	2.24E+03	7.90E+02
1107447-1107560	1.28E+03	1.54E+03	7.50E+02
1107447-1107560	1.50E+03	1.65E+03	7.71E+02
1107447-1107560	1.54E+03	1.92E+03	8.69E+02
1107557-1108363	5.55E+02	8.87E+02	1.64E+02
1107557-1108363	3.64E+02	7.88E+02	1.70E+02
1107557-1108363	4.65E+02	9.91E+02	1.67E+02
1107557-1108363	4.07E+02	8.84E+02	2.39E+02
1108377-1108784	5.57E+02	1.09E+03	2.97E+02
1108377-1108784	6.71E+02	1.30E+03	2.30E+02
1108377-1108784	6.82E+02	1.14E+03	2.51E+02
1108377-1108784	5.84E+02	1.19E+03	2.84E+02
1108799-1109524	7.44E+02	1.14E+03	5.15E+02
1108799-1109524	5.98E+02	1.15E+03	3.85E+02
1108799-1109524	7.21E+02	1.31E+03	3.39E+02
1108799-1109524	4.87E+02	8.93E+02	2.86E+02
1109618-1110106	1.16E+02	3.55E+02	6.72E+01
1109618-1110106	9.88E+01	3.12E+02	7.28E+01
1109618-1110106	1.66E+02	3.54E+02	6.05E+01
1109618-1110106	1.02E+02	2.97E+02	5.80E+01
1110833-1111027	1.18E+04	9.45E+03	9.29E+03
1110833-1111027	1.03E+04	8.58E+03	8.77E+03
1110833-1111027	1.17E+04	9.03E+03	9.68E+03
1110833-1111027	1.15E+04	8.88E+03	9.22E+03
1111060-1111638	1.05E+04	9.43E+03	8.54E+03
1111060-1111638	1.09E+04	9.58E+03	9.24E+03
1111060-1111638	1.14E+04	1.09E+04	9.55E+03
1111060-1111638	1.06E+04	9.65E+03	9.17E+03
1111715-1111903	4.23E+02	5.97E+02	2.38E+02
1111715-1111903	3.95E+02	6.66E+02	2.45E+02
1111715-1111903	3.70E+02	5.65E+02	2.55E+02
1111715-1111903	3.73E+02	6.08E+02	2.55E+02
1112324-1112551	5.28E+04	6.32E+04	5.13E+04
1112324-1112551	5.17E+04	4.61E+04	4.37E+04
1112324-1112551	4.84E+04	4.20E+04	4.29E+04
1112324-1112551	5.95E+04	4.67E+04	4.26E+04
111238-111423	4.47E+04	4.73E+04	3.72E+04
111238-111423	4.53E+04	4.22E+04	3.54E+04
111238-111423	4.57E+04	3.62E+04	3.07E+04
111238-111423	4.46E+04	3.60E+04	3.04E+04
1112621-1113313	2.02E+02	9.33E+02	7.51E+01
1112621-1113313	1.35E+02	8.48E+02	6.48E+01
1112621-1113313	1.89E+02	1.04E+03	6.87E+01
