ProbeName	6308A	6308B	6308C
1-1320	3.33E+03	2.45E+03	2.44E+03
1-1320	3.62E+03	2.88E+03	3.36E+03
1-1320	4.31E+03	3.28E+03	3.53E+03
1-1320	4.03E+03	3.00E+03	2.89E+03
1000307-1000843	4.57E+04	3.25E+04	4.81E+04
1000307-1000843	3.92E+04	3.69E+04	4.50E+04
1000307-1000843	4.30E+04	3.70E+04	4.58E+04
1000307-1000843	4.47E+04	4.15E+04	4.73E+04
1000875-1001264	4.25E+04	4.41E+04	5.60E+04
1000875-1001264	4.10E+04	3.98E+04	5.29E+04
1000875-1001264	4.23E+04	4.05E+04	5.43E+04
1000875-1001264	4.39E+04	3.79E+04	5.34E+04
1001301-1001687	3.61E+04	4.48E+04	5.81E+04
1001301-1001687	3.72E+04	4.57E+04	5.55E+04
1001301-1001687	3.49E+04	3.90E+04	5.05E+04
1001301-1001687	3.64E+04	3.79E+04	4.82E+04
1001814-1003256	6.67E+03	6.92E+03	1.27E+04
1001814-1003256	9.56E+03	1.06E+04	1.42E+04
1001814-1003256	1.04E+04	1.20E+04	1.54E+04
1001814-1003256	8.40E+03	9.84E+03	1.46E+04
1003553-1004368	9.56E+02	1.29E+03	9.28E+02
1003553-1004368	9.03E+02	1.12E+03	8.77E+02
1003553-1004368	9.60E+02	1.21E+03	9.88E+02
1003553-1004368	9.30E+02	1.10E+03	8.40E+02
1004970-1006154	1.98E+04	2.14E+04	1.97E+04
1004970-1006154	1.81E+04	2.06E+04	1.90E+04
1004970-1006154	2.00E+04	1.76E+04	1.74E+04
1004970-1006154	1.75E+04	1.70E+04	1.59E+04
1008103-1009296	2.31E+03	1.70E+03	1.21E+03
1008103-1009296	2.06E+03	1.68E+03	1.02E+03
1008103-1009296	2.19E+03	1.87E+03	1.18E+03
1008103-1009296	2.53E+03	1.75E+03	1.27E+03
1009321-1011246	2.17E+03	2.25E+03	1.64E+03
1009321-1011246	2.29E+03	2.38E+03	1.56E+03
1009321-1011246	2.45E+03	2.33E+03	1.71E+03
1009321-1011246	2.22E+03	2.58E+03	1.48E+03
1011268-1012263	2.62E+03	3.34E+03	2.09E+03
1011268-1012263	2.82E+03	2.80E+03	1.97E+03
1011268-1012263	2.97E+03	3.04E+03	2.14E+03
1011268-1012263	2.77E+03	2.94E+03	2.04E+03
1012613-1013062	6.92E+03	5.44E+03	5.05E+03
1012613-1013062	8.11E+03	6.79E+03	5.65E+03
1012613-1013062	6.93E+03	5.96E+03	4.74E+03
1012613-1013062	7.28E+03	5.88E+03	4.60E+03
1013096-1013590	7.56E+03	6.58E+03	5.16E+03
1013096-1013590	8.84E+03	8.45E+03	6.20E+03
1013096-1013590	8.50E+03	8.38E+03	6.72E+03
1013096-1013590	8.90E+03	7.94E+03	6.06E+03
1013687-1014208	1.63E+04	1.35E+04	1.62E+04
1013687-1014208	1.61E+04	1.86E+04	1.82E+04
1013687-1014208	1.72E+04	1.57E+04	1.72E+04
1013687-1014208	1.48E+04	1.40E+04	1.45E+04
1014397-1014708	1.73E+04	1.48E+04	1.78E+04
1014397-1014708	1.66E+04	1.41E+04	1.57E+04
1014397-1014708	1.64E+04	1.52E+04	1.61E+04
1014397-1014708	1.57E+04	1.49E+04	1.53E+04
1014736-1015422	1.08E+04	1.01E+04	1.22E+04
1014736-1015422	1.12E+04	1.22E+04	1.33E+04
1014736-1015422	1.05E+04	9.50E+03	1.19E+04
1014736-1015422	1.18E+04	1.09E+04	1.31E+04
1015654-1016538	7.12E+03	5.84E+03	6.13E+03
1015654-1016538	7.13E+03	5.00E+03	4.85E+03
1015654-1016538	7.12E+03	5.91E+03	6.61E+03
1015654-1016538	7.37E+03	5.95E+03	5.74E+03
1016637-1017812	3.17E+04	2.96E+04	3.63E+04
1016637-1017812	3.27E+04	3.51E+04	3.73E+04
1016637-1017812	3.09E+04	2.91E+04	3.59E+04
1016637-1017812	3.46E+04	3.17E+04	3.06E+04
1017940-1018794	1.89E+03	2.53E+03	1.38E+03
1017940-1018794	1.79E+03	2.27E+03	1.25E+03
1017940-1018794	1.90E+03	2.33E+03	1.50E+03
1017940-1018794	2.43E+03	2.74E+03	1.51E+03
1018838-1020073	9.31E+02	7.71E+02	5.04E+02
1018838-1020073	7.08E+02	8.43E+02	5.26E+02
1018838-1020073	6.89E+02	7.82E+02	4.66E+02
1018838-1020073	8.84E+02	7.86E+02	5.06E+02
1020174-1021115	1.11E+04	9.40E+03	6.54E+03
1020174-1021115	9.76E+03	7.37E+03	5.68E+03
1020174-1021115	1.08E+04	7.58E+03	5.55E+03
1020174-1021115	1.11E+04	7.77E+03	6.46E+03
1021974-1022894	8.26E+02	9.43E+02	9.47E+02
1021974-1022894	9.37E+02	9.47E+02	8.43E+02
1021974-1022894	9.15E+02	9.53E+02	9.12E+02
